Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Female,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F15
Female,Mathematics,INFP,Introvert,Intuitive,Feeling,Perceiving,5,Mountains,F15
Male,Mathematics,ESFJ,Extravert,Sensing,Feeling,Judging,4,Beach,F15
Male,Mathematics,ESTJ,Extravert,Sensing,Thinking,Judging,5,Beach,F15
Male,Mathematics,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Beach,F15
Male,Mathematics,INFJ,Introvert,Intuitive,Feeling,Judging,5,Beach,F15
NA,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,F15
Male,None,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F15
Male,Physics,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F15
Female,Sociology,INFJ,Introvert,Intuitive,Feeling,Judging,5,Mountains,F15
Male,Chemistry,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,Sum16
Male,Computer Science,ISFJ,Introvert,Sensing,Feeling,Judging,5,Beach,Sum16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,Sum16
Male,Computer Science,ISTJ,Introvert,Sensing,Thinking,Judging,5,Mountains,Sum16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,Sum16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,Sum16
Male,Computer Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Mountains,Sum16
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,6,Mountains,Sum16
Male,Computer Science,ISTP,Introvert,Sensing,Thinking,Perceiving,4,Mountains,Sum16
Male,Computer Science,ISTJ,Introvert,Sensing,Thinking,Judging,6,Mountains,Sum16
Male,Computer Science,ISTJ,Introvert,Sensing,Thinking,Judging,5,Beach,Sum16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,Beach,Sum16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Beach,Sum16
Male,Computer Science,INTP,Introvert,Intuitive,Thinking,Perceiving,5,Mountains,Sum16
Male,Computer Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,3,Mountains,Sum16
Male,Economics,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,Sum16
Female,Environmental Science,INFJ,Introvert,Intuitive,Feeling,Judging,6,Beach,Sum16
Male,Environmental Science,INTJ,Introvert,Intuitive,Thinking,Judging,4,Mountains,Sum16
Male,Environmental Science,ENFJ,Extravert,Intuitive,Feeling,Judging,4,Mountains,Sum16
Male,Environmental Science,INFJ,Introvert,Intuitive,Feeling,Judging,6,Mountains,Sum16
Female,Mathematics,ENFP,Extravert,Intuitive,Thinking,Perceiving,5,Mountains,Sum16
Female,Mathematics,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,Sum16
Male,Political Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,7,Mountains,Sum16
Male,Actuarial Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F16
Female,Actuarial Science,ISTJ,Introvert,Sensing,Thinking,Judging,6,Mountains,F16
Male,Actuarial Science,ISTJ,Introvert,Sensing,Thinking,Judging,4,Mountains,F16
Male,Actuarial Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Beach,F16
Female,Actuarial Science,ESFJ,Extravert,Sensing,Feeling,Judging,6,Mountains,F16
Male,Actuarial Science,ESTJ,Extravert,Sensing,Thinking,Judging,5,Beach,F16
Female,Actuarial Science,ESFJ,Extravert,Sensing,Feeling,Judging,5,Mountains,F16
Male,Actuarial Science,INTJ,Introvert,Intuitive,Thinking,Judging,4,Beach,F16
Female,Actuarial Science,ESTJ,Extravert,Sensing,Thinking,Judging,5,Beach,F16
Female,Actuarial Science,INFJ,Introvert,Intuitive,Feeling,Judging,5,Beach,F16
Male,Chemistry,ENFJ,Extravert,Intuitive,Feeling,Judging,4,Mountains,F16
Male,Chemistry,INTP,Introvert,Intuitive,Thinking,Perceiving,5,Beach,F16
Female,Chemistry,ISTJ,Introvert,Sensing,Thinking,Judging,3,Mountains,F16
Female,Chemistry,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F16
Male,Chemistry,ENTJ,Extravert,Intuitive,Thinking,Judging,6,Mountains,F16
Male,Computer Science,INFP,Introvert,Intuitive,Feeling,Perceiving,5,Mountains,F16
Male,Computer Science,INTP,Introvert,Intuitive,Thinking,Perceiving,4,Mountains,F16
Male,Computer Science,ISTJ,Introvert,Sensing,Thinking,Judging,5,Mountains,F16
Female,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,F16
Male,Computer Science,INFP,Introvert,Intuitive,Feeling,Perceiving,5,Mountains,F16
Male,Computer Science,INFJ,Introvert,Intuitive,Feeling,Judging,5,Beach,F16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,Beach,F16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,F16
Male,Computer Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,F16
Female,Computer Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,Beach,F16
