Jersey,Name,Position,Age,Height,Weight,Years,College,Team,PositionGrp,Side,Playtime
29,Duke Johnson Jr.,RB,22,69,210,2,Miami,Cleveland,Tailback,Offense,1-4 Yrs
25,Raheem Mostert,RB,24,70,195,2,Purdue,Cleveland,Tailback,Offense,1-4 Yrs
34,Isaiah Crowell,RB,23,71,225,3,Alabama State,Cleveland,Tailback,Offense,1-4 Yrs
38,Terrell Watson,RB,22,73,242,1,Azusa Pacific,Cleveland,Tailback,Offense,1-4 Yrs
28,Glenn Winston,RB,27,74,220,3,Northwood (MI),Cleveland,Tailback,Offense,1-4 Yrs
26,Derrick Kindred,S,22,70,207,0,TCU,Cleveland,Defensive Back,Defense,Rookie
35,Don Jones,S,26,71,205,4,Arkansas State,Cleveland,Defensive Back,Defense,1-4 Yrs
20,Rahim Moore,S,26,73,195,6,UCLA,Cleveland,Defensive Back,Defense,5-8 Yrs
88,E.J. Bibbs,TE,24,74,258,2,Iowa State,Cleveland,Tight End,Offense,1-4 Yrs
86,Randall Telfer,TE,24,76,250,1,USC,Cleveland,Tight End,Offense,1-4 Yrs
86,J.P. Holtz,TE,22,76,245,0,Pittsburgh,Cleveland,Tight End,Offense,Rookie
82,Gary Barnidge,TE,30,78,250,9,Louisville,Cleveland,Tight End,Offense,9-12 Yrs
89,Connor Hamlett,TE,24,79,266,1,Oregon State,Cleveland,Tight End,Offense,1-4 Yrs
15,Marlon Moore,WR,28,72,190,7,Fresno State,Cleveland,Wide Receiver,Offense,5-8 Yrs
16,Andrew Hawkins,WR,30,67,180,6,Toledo,Cleveland,Wide Receiver,Offense,5-8 Yrs
18,Taylor Gabriel,WR,25,68,167,3,Abilene Christian,Cleveland,Wide Receiver,Offense,1-4 Yrs
17,Darius Jennings,WR,24,70,169,1,Virginia,Cleveland,Wide Receiver,Offense,1-4 Yrs
1,Corey Coleman,WR,22,71,190,0,Baylor,Cleveland,Wide Receiver,Offense,Rookie
85,Rannell Hall,WR,24,73,200,1,UCF,Cleveland,Wide Receiver,Offense,1-4 Yrs
5,Ricardo Louis,WR,22,73,214,0,Auburn,Cleveland,Wide Receiver,Offense,Rookie
9,Jordan Payton,WR,22,73,216,0,UCLA,Cleveland,Wide Receiver,Offense,Rookie
82,Rashard Higgins,WR,21,74,190,0,Colorado State,Cleveland,Wide Receiver,Offense,Rookie
,Dennis Parks,WR,21,74,200,0,Rice,Cleveland,Wide Receiver,Offense,Rookie
12,Josh Gordon,WR,25,75,225,3,Utah,Cleveland,Wide Receiver,Offense,1-4 Yrs
11,Terrelle Pryor,WR,27,76,233,4,Ohio State,Cleveland,Wide Receiver,Offense,1-4 Yrs
87,Seth DeValve,WR,23,76,245,0,Princeton,Cleveland,Wide Receiver,Offense,Rookie
75,Joe Looney,C,25,75,315,5,Wake Forest,Dallas,Offensive Line,Offense,5-8 Yrs
72,Travis Frederick,C,25,76,315,4,Wisconsin,Dallas,Offensive Line,Offense,1-4 Yrs
39,Brandon Carr,CB,30,72,210,9,Grand Valley State,Dallas,Defensive Back,Defense,9-12 Yrs
,Isaiah Frey,CB,26,72,190,3,Nevada,Dallas,Defensive Back,Defense,1-4 Yrs
31,Byron Jones,CB,23,72,205,2,Connecticut,Dallas,Defensive Back,Defense,1-4 Yrs
7,Jeremiah McKinnon,CB,23,72,185,0,Florida Intl,Dallas,Defensive Back,Defense,Rookie
32,Orlando Scandrick,CB,29,70,195,9,Boise State,Dallas,Defensive Back,Defense,9-12 Yrs
26,Josh Thomas,CB,27,71,185,6,Buffalo,Dallas,Defensive Back,Defense,5-8 Yrs
24,Morris Claiborne,CB,26,71,192,5,LSU,Dallas,Defensive Back,Defense,5-8 Yrs
9,Anthony Brown,CB,22,71,192,0,Purdue,Dallas,Defensive Back,Defense,Rookie
36,Arjen Colquhoun,CB,23,73,192,0,Michigan State,Dallas,Defensive Back,Defense,Rookie
,Daxton Swanson,DB,25,71,191,1,Sam Houston State,Dallas,Defensive Back,Defense,1-4 Yrs
29,Deji Olatoye,DB,25,73,194,2,North Carolina A&T,Dallas,Defensive Back,Defense,1-4 Yrs
91,Charles Tapper,DE,23,74,276,0,Oklahoma,Dallas,Front Seven,Defense,Rookie
,Zach Wood,DE,,75,258,0,SMU,Dallas,Front Seven,Defense,Rookie
90,DeMarcus Lawrence,DE,24,75,265,3,Boise State,Dallas,Front Seven,Defense,1-4 Yrs
93,Benson Mayowa,DE,24,75,240,4,Idaho,Dallas,Front Seven,Defense,1-4 Yrs
99,Ryan Russell,DE,24,77,275,2,Purdue,Dallas,Front Seven,Defense,1-4 Yrs
94,Randy Gregory,DE,23,77,255,2,Nebraska,Dallas,Front Seven,Defense,1-4 Yrs
66,Michael McAdoo,DE,26,79,245,3,North Carolina,Dallas,Front Seven,Defense,1-4 Yrs
9,Rodney Coe,DL,23,75,305,0,Akron,Dallas,Front Seven,Defense,Rookie
95,David Irving,DL,22,79,273,2,Iowa State,Dallas,Front Seven,Defense,1-4 Yrs
63,Casey Walker,DT,26,73,340,2,Oklahoma,Dallas,Front Seven,Defense,1-4 Yrs
97,Terrell McClain,DT,28,74,302,6,South Florida,Dallas,Front Seven,Defense,5-8 Yrs
7,Maliek Collins,DT,21,74,300,0,Nebraska,Dallas,Front Seven,Defense,Rookie
75,Cedric Thornton,DT,28,76,309,5,Southern Arkansas,Dallas,Front Seven,Defense,5-8 Yrs
98,Tyrone Crawford,DT,26,76,290,5,Boise State,Dallas,Front Seven,Defense,5-8 Yrs
58,Jack Crawford,DT,27,77,288,5,Penn State,Dallas,Front Seven,Defense,5-8 Yrs
59,Anthony Hitchens,LB,24,72,235,3,Iowa,Dallas,Front Seven,Defense,1-4 Yrs
56,Keith Smith,LB,24,72,232,2,San Jose State,Dallas,Front Seven,Defense,1-4 Yrs
54,Derek Akunne,LB,22,72,242,1,North Texas,Dallas,Front Seven,Defense,1-4 Yrs
,Justin Durant,LB,30,73,230,10,Hampton,Dallas,Front Seven,Defense,9-12 Yrs
53,Deon King,LB,23,73,229,0,Norfolk State,Dallas,Front Seven,Defense,Rookie
57,Damien Wilson,LB,23,73,242,2,Minnesota,Dallas,Front Seven,Defense,1-4 Yrs
50,Sean Lee,LB,30,74,238,7,Penn State,Dallas,Front Seven,Defense,5-8 Yrs
52,Andrew Gachkar,LB,27,74,240,6,Missouri,Dallas,Front Seven,Defense,5-8 Yrs
53,Mark Nzeocha,LB,26,74,235,2,Wyoming,Dallas,Front Seven,Defense,1-4 Yrs
9,Jaylon Smith,LB,21,74,223,0,Notre Dame,Dallas,Front Seven,Defense,Rookie
55,Rolando McClain,LB,27,76,255,6,Alabama,Dallas,Front Seven,Defense,5-8 Yrs
51,Kyle Wilber,LB,27,76,245,5,Wake Forest,Dallas,Front Seven,Defense,5-8 Yrs
91,L.P. Ladouceur,LS,35,77,256,12,California,Dallas,Special Teams,Special Teams,9-12 Yrs
65,Ronald Leary,OG,27,75,320,4,Memphis,Dallas,Offensive Line,Offense,1-4 Yrs
70,Zack Martin,OG,25,76,315,3,Notre Dame,Dallas,Offensive Line,Offense,1-4 Yrs
62,Jared Smith,OL,26,76,302,1,New Hampshire,Dallas,Offensive Line,Offense,1-4 Yrs
,Boston Stiverson,OL,23,76,313,0,Kansas State,Dallas,Offensive Line,Offense,Rookie
71,La'el Collins,OL,22,76,315,2,LSU,Dallas,Offensive Line,Offense,1-4 Yrs
78,Charles Brown,OL,29,77,300,7,USC,Dallas,Offensive Line,Offense,5-8 Yrs
79,Chaz Green,OL,24,77,315,2,Florida,Dallas,Offensive Line,Offense,1-4 Yrs
75,David Hedelin,OT,25,76,298,0,Purdue,Dallas,Offensive Line,Offense,Rookie
77,Tyron Smith,OT,25,77,320,6,USC,Dallas,Offensive Line,Offense,5-8 Yrs
74,Ryan Mack,OT,23,77,310,0,Memphis,Dallas,Offensive Line,Offense,Rookie
68,Doug Free,OT,32,78,325,10,Northern Illinois,Dallas,Offensive Line,Offense,9-12 Yrs
6,Chris Jones,P,27,72,205,5,Carson-Newman,Dallas,Special Teams,Special Teams,5-8 Yrs
2,Matt Wile,P,24,74,223,0,Michigan,Dallas,Special Teams,Special Teams,Rookie
5,Dan Bailey,PK,28,72,195,6,Oklahoma State,Dallas,Special Teams,Special Teams,5-8 Yrs
17,Kellen Moore,QB,27,72,200,5,Boise State,Dallas,QB,Offense,5-8 Yrs
7,Jameill Showers,QB,24,73,230,1,UTEP,Dallas,QB,Offense,1-4 Yrs
9,Tony Romo,QB,36,74,230,14,Eastern Illinois,Dallas,QB,Offense,13+ Yrs
15,Dak Prescott,QB,22,74,226,0,Mississippi State,Dallas,QB,Offense,Rookie
6,Darius Jackson,RB,22,72,221,0,Eastern Michigan,Dallas,Tailback,Offense,Rookie
15,Ezekiel Elliott,RB,21,72,225,0,Ohio State,Dallas,Tailback,Offense,Rookie
25,Lance Dunbar,RB,26,68,195,5,North Texas,Dallas,Tailback,Offense,5-8 Yrs
46,Alfred Morris,RB,27,70,224,5,Florida Atlantic,Dallas,Tailback,Offense,5-8 Yrs
20,Darren McFadden,RB,28,73,220,9,Arkansas,Dallas,Tailback,Offense,9-12 Yrs
45,Rod Smith,RB,24,75,226,2,Ohio State,Dallas,Tailback,Offense,1-4 Yrs
27,J.J. Wilcox,S,25,72,212,4,Georgia Southern,Dallas,Defensive Back,Defense,1-4 Yrs
5,Kavon Frazier,S,22,72,217,0,Central Michigan,Dallas,Defensive Back,Defense,Rookie
38,Jeff Heath,S,25,73,212,4,Saginaw Valley,Dallas,Defensive Back,Defense,1-4 Yrs
42,Barry Church,S,28,74,218,7,Toledo,Dallas,Defensive Back,Defense,5-8 Yrs
,Austin Traylor,TE,22,75,247,0,Wisconsin,Dallas,Tight End,Offense,Rookie
84,James Hanna,TE,27,76,260,5,Oklahoma,Dallas,Tight End,Offense,5-8 Yrs
87,Geoff Swaim,TE,22,76,260,2,Texas,Dallas,Tight End,Offense,1-4 Yrs
82,Jason Witten,TE,34,78,263,14,Tennessee,Dallas,Tight End,Offense,13+ Yrs
89,Gavin Escobar,TE,25,78,260,4,San Diego State,Dallas,Tight End,Offense,1-4 Yrs
2,Rico Gathers,TE,22,80,275,0,Baylor,Dallas,Tight End,Offense,Rookie
11,Cole Beasley,WR,27,68,180,5,SMU,Dallas,Wide Receiver,Offense,5-8 Yrs
13,Lucky Whitehead,WR,24,69,180,2,Florida Atlantic,Dallas,Wide Receiver,Offense,1-4 Yrs
7,Ed Eagan,WR,23,71,183,0,Northwestern State,Dallas,Wide Receiver,Offense,Rookie
88,Dez Bryant,WR,27,74,220,7,Oklahoma State,Dallas,Wide Receiver,Offense,5-8 Yrs
83,Terrance Williams,WR,26,74,208,4,Baylor,Dallas,Wide Receiver,Offense,1-4 Yrs
85,Vince Mayle,WR,25,74,224,1,Washington State,Dallas,Wide Receiver,Offense,1-4 Yrs
2,Chris Brown,WR,22,74,191,0,Notre Dame,Dallas,Wide Receiver,Offense,Rookie
4,Andy Jones,WR,22,74,200,0,Jacksonville,Dallas,Wide Receiver,Offense,Rookie
19,Brice Butler,WR,26,75,215,4,San Diego State,Dallas,Wide Receiver,Offense,1-4 Yrs
15,Devin Street,WR,25,75,200,3,Pittsburgh,Dallas,Wide Receiver,Offense,1-4 Yrs
14,Rodney Smith,WR,26,77,220,3,Florida State,Dallas,Wide Receiver,Offense,1-4 Yrs
53,James Ferentz,C,27,74,285,2,Iowa,Denver,Offensive Line,Offense,1-4 Yrs
67,Sam Brenner,C,26,74,310,3,Utah,Denver,Offensive Line,Offense,1-4 Yrs
61,Matt Paradis,C,26,75,300,2,Boise State,Denver,Offensive Line,Offense,1-4 Yrs
62,Dillon Day,C,24,76,299,1,Mississippi State,Denver,Offensive Line,Offense,1-4 Yrs
73,Max Garcia,C,24,76,309,2,Florida,Denver,Offensive Line,Offense,1-4 Yrs
25,Chris Harris Jr.,CB,27,70,199,5,Kansas,Denver,Defensive Back,Defense,5-8 Yrs
39,Taurean Nixon,CB,25,70,187,1,Tulane,Denver,Defensive Back,Defense,1-4 Yrs
37,Lorenzo Doss,CB,22,70,187,2,Tulane,Denver,Defensive Back,Defense,1-4 Yrs
36,Kayvon Webster,CB,25,71,198,4,South Florida,Denver,Defensive Back,Defense,1-4 Yrs
30,B.J. Lowery,CB,24,71,194,0,Iowa,Denver,Defensive Back,Defense,Rookie
29,Bradley Roby,CB,24,71,194,3,Ohio State,Denver,Defensive Back,Defense,1-4 Yrs
21,Aqib Talib,CB,30,73,205,9,Kansas,Denver,Defensive Back,Defense,9-12 Yrs
,John Tidwell,DB,23,72,191,0,Sioux Falls,Denver,Defensive Back,Defense,Rookie
26,Darian Stewart,DB,27,71,214,7,South Carolina,Denver,Defensive Back,Defense,5-8 Yrs
55,Eddie Yarbrough,DE,23,75,251,0,Wyoming,Denver,Front Seven,Defense,Rookie
94,DeMarcus Ware,DE,33,76,258,12,Troy,Denver,Front Seven,Defense,9-12 Yrs
91,Kenny Anunike,DE,26,76,275,3,Duke,Denver,Front Seven,Defense,1-4 Yrs
93,Jared Crick,DE,26,76,285,5,Nebraska,Denver,Front Seven,Defense,5-8 Yrs
95,Derek Wolfe,DE,26,77,285,5,Cincinnati,Denver,Front Seven,Defense,5-8 Yrs
97,Phil Taylor,DL,28,75,335,5,Baylor,Denver,Front Seven,Defense,5-8 Yrs
96,Vance Walker,DT,29,74,305,8,Georgia Tech,Denver,Front Seven,Defense,5-8 Yrs
92,Sylvester Williams,DT,27,74,313,4,North Carolina,Denver,Front Seven,Defense,1-4 Yrs
98,Darius Kilgo,DT,24,75,319,2,Maryland,Denver,Front Seven,Defense,1-4 Yrs
96,Adam Gotsis,DT,23,76,287,0,Georgia Tech,Denver,Front Seven,Defense,Rookie
35,Andy Janovich,FB,23,73,230,0,Nebraska,Denver,Tailback,Offense,Rookie
60,Connor McGovern,G,23,76,305,0,Missouri,Denver,Offensive Line,Offense,Rookie
70,Robert Myers Jr.,G,24,77,326,1,Tennessee State,Denver,Offensive Line,Offense,1-4 Yrs
50,Zaire Anderson,LB,23,71,220,1,Nebraska,Denver,Front Seven,Defense,1-4 Yrs
54,Brandon Marshall,LB,26,73,250,5,Nevada,Denver,Front Seven,Defense,5-8 Yrs
51,Todd Davis,LB,24,73,230,3,Sacramento State,Denver,Front Seven,Defense,1-4 Yrs
52,Corey Nelson,LB,24,73,226,3,Oklahoma,Denver,Front Seven,Defense,1-4 Yrs
,Dekoda Watson,LB,28,74,245,6,Florida State,Denver,Front Seven,Defense,5-8 Yrs
48,Shaquil Barrett,LB,23,74,250,3,Colorado State,Denver,Front Seven,Defense,1-4 Yrs
58,Von Miller,LB,27,75,250,6,Texas A&M,Denver,Front Seven,Defense,5-8 Yrs
56,Shane Ray,LB,23,75,245,2,Missouri,Denver,Front Seven,Defense,1-4 Yrs
42,Casey Kreiter,LS,25,73,250,0,Iowa,Denver,Special Teams,Special Teams,Rookie
51,David Moala,NT,23,74,300,0,Utah State,Denver,Front Seven,Defense,Rookie
71,Donald Stephenson,OL,27,78,312,5,Oklahoma,Denver,Offensive Line,Offense,5-8 Yrs
,Russell Okung,OT,28,77,310,7,Oklahoma State,Denver,Offensive Line,Offense,5-8 Yrs
77,Darrion Weems,OT,27,77,310,3,Oregon,Denver,Offensive Line,Offense,1-4 Yrs
75,Cameron Jefferson,OT,24,77,317,1,Arkansas,Denver,Offensive Line,Offense,1-4 Yrs
74,Ty Sambrailo,OT,24,77,315,2,Colorado State,Denver,Offensive Line,Offense,1-4 Yrs
79,Michael Schofield,OT,25,78,301,3,Michigan,Denver,Offensive Line,Offense,1-4 Yrs
66,Kyle Roberts,OT,24,78,305,1,Nevada,Denver,Offensive Line,Offense,1-4 Yrs
4,Britton Colquitt,P,31,75,205,8,Tennessee,Denver,Special Teams,Special Teams,5-8 Yrs
92,Riley Dixon,P,22,76,221,0,Syracuse,Denver,Special Teams,Special Teams,Rookie
8,Brandon McManus,PK,24,75,201,3,Temple,Denver,Special Teams,Special Teams,1-4 Yrs
6,Mark Sanchez,QB,29,74,225,8,USC,Denver,QB,Offense,5-8 Yrs
13,Trevor Siemian,QB,24,75,220,2,Northwestern,Denver,QB,Offense,1-4 Yrs
12,Paxton Lynch,QB,22,79,245,0,Memphis,Denver,QB,Offense,Rookie
22,C.J. Anderson,RB,25,68,224,4,California,Denver,Tailback,Offense,1-4 Yrs
35,Kapri Bibbs,RB,23,69,203,2,Colorado State,Denver,Tailback,Offense,1-4 Yrs
28,Cyrus Gray,RB,26,70,206,3,Texas A&M,Denver,Tailback,Offense,1-4 Yrs
23,Devontae Booker,RB,24,70,208,0,Utah,Denver,Tailback,Offense,Rookie
23,Ronnie Hillman,RB,24,70,195,5,San Diego State,Denver,Tailback,Offense,5-8 Yrs
40,Juwan Thompson,RB,24,71,225,3,Duke,Denver,Tailback,Offense,1-4 Yrs
27,Brandian Ross,S,26,72,190,4,Youngstown State,Denver,Defensive Back,Defense,1-4 Yrs
33,Shiloh Keo,S,28,71,208,4,Idaho,Denver,Defensive Back,Defense,1-4 Yrs
11,Will Parks,S,21,73,194,0,Arizona,Denver,Defensive Back,Defense,Rookie
27,Justin Simmons,S,22,74,202,0,Boston College,Denver,Defensive Back,Defense,Rookie
43,T.J. Ward,SS,29,70,200,7,Oregon,Denver,Defensive Back,Defense,5-8 Yrs
41,Manasseh Garner,TE,24,74,220,1,Pittsburgh,Denver,Tight End,Offense,1-4 Yrs
,Garrett Graham,TE,29,75,243,7,Wisconsin,Denver,Tight End,Offense,5-8 Yrs
85,Virgil Green,TE,27,77,255,6,Nevada,Denver,Tight End,Offense,5-8 Yrs
82,Jeff Heuerman,TE,23,77,255,2,Ohio State,Denver,Tight End,Offense,1-4 Yrs
11,Jordan Norwood,WR,29,71,180,7,Penn State,Denver,Wide Receiver,Offense,5-8 Yrs
10,Emmanuel Sanders,WR,29,71,180,7,SMU,Denver,Wide Receiver,Offense,5-8 Yrs
15,DeVier Posey,WR,26,73,210,3,Ohio State,Denver,Wide Receiver,Offense,1-4 Yrs
16,Bennie Fowler,WR,25,73,212,2,Michigan State,Denver,Wide Receiver,Offense,1-4 Yrs
14,Cody Latimer,WR,23,74,215,3,Indiana,Denver,Wide Receiver,Offense,1-4 Yrs
88,Demaryius Thomas,WR,28,75,229,7,Georgia Tech,Denver,Wide Receiver,Offense,5-8 Yrs
87,Jordan Taylor,WR,24,77,210,1,Rice,Denver,Wide Receiver,Offense,1-4 Yrs
48,Don Muhlbach,C,34,76,258,13,Texas A&M,Detroit,Offensive Line,Offense,13+ Yrs
65,Gabe Ikard,C,25,76,304,3,Oklahoma,Detroit,Offensive Line,Offense,1-4 Yrs
64,Travis Swanson,C,25,77,307,3,Arkansas,Detroit,Offensive Line,Offense,1-4 Yrs
61,Graham Glasgow,C,24,78,306,0,Michigan,Detroit,Offensive Line,Offense,Rookie
30,Darrin Walls,CB,28,72,190,6,Notre Dame,Detroit,Defensive Back,Defense,5-8 Yrs
23,Darius Slay,CB,25,72,190,4,Mississippi State,Detroit,Defensive Back,Defense,1-4 Yrs
33,Alex Carter,CB,21,72,196,1,Stanford,Detroit,Defensive Back,Defense,1-4 Yrs
24,Nevin Lawson,CB,25,69,191,3,Utah State,Detroit,Defensive Back,Defense,1-4 Yrs
28,Quandre Diggs,CB,23,69,197,2,Texas,Detroit,Defensive Back,Defense,1-4 Yrs
,Ian Wells,CB,23,71,202,0,Ohio,Detroit,Defensive Back,Defense,Rookie
,Adairius Barnes,CB,22,71,181,0,Louisiana Tech,Detroit,Defensive Back,Defense,Rookie
29,Crezdon Butler,CB,29,73,191,7,Clemson,Detroit,Defensive Back,Defense,5-8 Yrs
27,Tavon Wilson,DB,26,72,215,5,Illinois,Detroit,Defensive Back,Defense,5-8 Yrs
24,Johnson Bademosi,DB,25,72,200,5,Stanford,Detroit,Defensive Back,Defense,5-8 Yrs
,Charles Washington,DB,23,71,192,0,Fresno State,Detroit,Defensive Back,Defense,Rookie
95,Wallace Gilberry,DE,31,74,270,9,Alabama,Detroit,Front Seven,Defense,9-12 Yrs
,Deonte Gibson,DE,23,75,260,0,Northwestern,Detroit,Front Seven,Defense,Rookie
98,Anthony Zettel,DE,23,76,278,0,Penn State,Detroit,Front Seven,Defense,Rookie
91,Jason Jones,DE,30,77,275,9,Eastern Michigan,Detroit,Front Seven,Defense,9-12 Yrs
94,Ezekiel Ansah,DE,27,77,278,4,BYU,Detroit,Front Seven,Defense,1-4 Yrs
,Quanterus Smith,DE,26,77,255,3,Western Kentucky,Detroit,Front Seven,Defense,1-4 Yrs
98,Devin Taylor,DE,26,79,275,4,South Carolina,Detroit,Front Seven,Defense,1-4 Yrs
,Louis Palmer,DL,21,74,265,0,Central Michigan,Detroit,Front Seven,Defense,Rookie
61,Kerry Hyder,DT,25,74,290,1,Texas Tech,Detroit,Front Seven,Defense,1-4 Yrs
97,Caraun Reid,DT,24,74,298,3,Princeton,Detroit,Front Seven,Defense,1-4 Yrs
67,Khyri Thornton,DT,26,75,315,3,Southern Mississippi,Detroit,Front Seven,Defense,1-4 Yrs
93,Tyrunn Walker,DT,26,75,305,5,Tulsa,Detroit,Front Seven,Defense,5-8 Yrs
90,Gabe Wright,DT,24,75,305,2,Auburn,Detroit,Front Seven,Defense,1-4 Yrs
92,Haloti Ngata,DT,32,76,345,11,Oregon,Detroit,Front Seven,Defense,9-12 Yrs
86,A'Shawn Robinson,DT,21,76,312,0,Alabama,Detroit,Front Seven,Defense,Rookie
96,Stefan Charles,DT,28,77,323,4,University of Regina,Detroit,Front Seven,Defense,1-4 Yrs
46,Michael Burton,FB,24,72,247,2,Rutgers,Detroit,Tailback,Offense,1-4 Yrs
27,Glover Quin,FS,30,72,207,8,New Mexico,Detroit,Defensive Back,Defense,5-8 Yrs
75,Larry Warford,G,25,75,332,4,Kentucky,Detroit,Offensive Line,Offense,1-4 Yrs
56,Joe Dahl,G,23,75,299,0,Washington State,Detroit,Offensive Line,Offense,Rookie
,Jerry Franklin,LB,28,73,245,2,Arkansas,Detroit,Front Seven,Defense,1-4 Yrs
49,Khaseem Greene,LB,27,73,241,3,Rutgers,Detroit,Front Seven,Defense,1-4 Yrs
57,Josh Bynes,LB,26,73,235,5,Auburn,Detroit,Front Seven,Defense,5-8 Yrs
,Jonathan Bostic,LB,25,73,245,4,Florida,Detroit,Front Seven,Defense,1-4 Yrs
,Zaviar Gooden,LB,25,73,231,3,Missouri,Detroit,Front Seven,Defense,1-4 Yrs
54,DeAndre Levy,LB,29,74,235,8,Wisconsin,Detroit,Front Seven,Defense,5-8 Yrs
59,Tahir Whitehead,LB,26,74,242,5,Temple,Detroit,Front Seven,Defense,5-8 Yrs
53,Kyle Van Noy,LB,26,75,248,3,BYU,Detroit,Front Seven,Defense,1-4 Yrs
95,Brandon Copeland,LB,25,75,248,2,Penn,Detroit,Front Seven,Defense,1-4 Yrs
37,Antwione Williams,LB,23,75,229,0,Georgia Southern,Detroit,Front Seven,Defense,Rookie
50,Jimmy Landes,LS,23,73,240,0,Baylor,Detroit,Special Teams,Special Teams,Rookie
72,Laken Tomlinson,OG,24,75,323,2,Duke,Detroit,Offensive Line,Offense,1-4 Yrs
,Chase Farris,OL,23,77,310,0,Ohio State,Detroit,Offensive Line,Offense,Rookie
,Geoff Schwartz,OL,30,78,340,8,Oregon,Detroit,Offensive Line,Offense,5-8 Yrs
74,Michael Ola,OT,28,76,312,3,Hampton,Detroit,Offensive Line,Offense,1-4 Yrs
71,Riley Reiff,OT,27,78,308,5,Iowa,Detroit,Offensive Line,Offense,5-8 Yrs
70,Corey Robinson,OT,24,79,316,2,South Carolina,Detroit,Offensive Line,Offense,1-4 Yrs
68,Taylor Decker,OT,21,79,320,0,Ohio State,Detroit,Offensive Line,Offense,Rookie
,Luke Marquardt,OT,26,80,315,1,Azusa Pacific,Detroit,Offensive Line,Offense,1-4 Yrs
77,Cornelius Lucas,OT,25,81,328,3,Kansas State,Detroit,Offensive Line,Offense,1-4 Yrs
6,Sam Martin,P,26,73,211,4,Appalachian State,Detroit,Special Teams,Special Teams,1-4 Yrs
5,Matt Prater,PK,31,70,211,10,UCF,Detroit,Special Teams,Special Teams,9-12 Yrs
,Devon Bell,PK,23,74,194,0,Mississippi State,Detroit,Special Teams,Special Teams,Rookie
9,Matthew Stafford,QB,28,75,226,8,Georgia,Detroit,QB,Offense,5-8 Yrs
15,Jake Rudock,QB,23,75,207,0,Michigan,Detroit,QB,Offense,Rookie
8,Dan Orlovsky,QB,32,77,215,11,Connecticut,Detroit,QB,Offense,9-12 Yrs
21,Ameer Abdullah,RB,23,68,203,2,Nebraska,Detroit,Tailback,Offense,1-4 Yrs
25,Theo Riddick,RB,25,69,200,4,Notre Dame,Detroit,Tailback,Offense,1-4 Yrs
,Stevan Ridley,RB,27,71,220,6,LSU,Detroit,Tailback,Offense,5-8 Yrs
38,George Winn,RB,25,71,215,3,Cincinnati,Detroit,Tailback,Offense,1-4 Yrs
34,Zach Zenner,RB,24,71,222,2,South Dakota State,Detroit,Tailback,Offense,1-4 Yrs
12,Dwayne Washington,RB,22,74,226,0,Washington,Detroit,Tailback,Offense,Rookie
25,Rafael Bush,S,29,71,205,6,South Carolina State,Detroit,Defensive Back,Defense,5-8 Yrs
43,Isaiah Johnson,S,24,73,202,2,Georgia Tech,Detroit,Defensive Back,Defense,1-4 Yrs
28,Miles Killebrew,S,23,74,217,0,Southern Utah,Detroit,Defensive Back,Defense,Rookie
26,Don Carey,SS,29,71,203,8,Norfolk State,Detroit,Defensive Back,Defense,5-8 Yrs
,Orson Charles,TE,25,75,254,3,Georgia,Detroit,Tight End,Offense,1-4 Yrs
82,Matthew Mulligan,TE,31,76,267,7,Maine,Detroit,Tight End,Offense,5-8 Yrs
83,Timothy Wright,TE,26,76,220,4,Rutgers,Detroit,Tight End,Offense,1-4 Yrs
,Ben McCord,TE,24,76,243,0,Central Michigan,Detroit,Tight End,Offense,Rookie
85,Eric Ebron,TE,23,76,255,3,North Carolina,Detroit,Tight End,Offense,1-4 Yrs
87,Brandon Pettigrew,TE,31,77,278,8,Oklahoma State,Detroit,Tight End,Offense,5-8 Yrs
,Adam Fuehne,TE,23,79,260,0,Southern Illinois,Detroit,Tight End,Offense,Rookie
,Cole Wick,TE,22,79,255,0,Incarnate Word,Detroit,Tight End,Offense,Rookie
,Andre Caldwell,WR,31,72,200,9,Florida,Detroit,Wide Receiver,Offense,9-12 Yrs
13,TJ Jones,WR,24,72,190,2,Notre Dame,Detroit,Wide Receiver,Offense,1-4 Yrs
,Jace Billingsley,WR,,69,185,0,Eastern Oregon,Detroit,Wide Receiver,Offense,Rookie
,Jeremy Kerley,WR,27,69,188,6,TCU,Detroit,Wide Receiver,Offense,5-8 Yrs
15,Golden Tate,WR,27,70,198,7,Notre Dame,Detroit,Wide Receiver,Offense,5-8 Yrs
,Andre Roberts,WR,28,71,187,7,The Citadel,Detroit,Wide Receiver,Offense,5-8 Yrs
,Damian Copeland,WR,25,73,182,3,Louisville,Detroit,Wide Receiver,Offense,1-4 Yrs
18,Ryan Spadola,WR,25,73,205,1,Lehigh,Detroit,Wide Receiver,Offense,1-4 Yrs
,Jay Lee,WR,23,73,214,0,Baylor,Detroit,Wide Receiver,Offense,Rookie
10,Corey Fuller,WR,26,74,200,3,Virginia Tech,Detroit,Wide Receiver,Offense,1-4 Yrs
,Marvin Jones,WR,26,74,198,5,California,Detroit,Wide Receiver,Offense,5-8 Yrs
,Quinshad Davis,WR,22,76,205,0,North Carolina,Detroit,Wide Receiver,Offense,Rookie
63,Corey Linsley,C,24,75,301,3,Ohio State,Green Bay,Offensive Line,Offense,1-4 Yrs
57,Jacob Flores,C,22,75,284,0,Dartmouth,Green Bay,Offensive Line,Offense,Rookie
